arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
rand_d0.1_m25_n75_s8.txt,0.1,25,75,OPTIMAL,8,135,61,11.81,0.006027
rand_d0.1_m25_n75_s9.txt,0.1,25,75,OPTIMAL,7,11054,4694,11.81,0.168989
rand_d0.1_m50_n75_s20.txt,0.1,50,75,OPTIMAL,10,33806,16619,11.81,1.084225
rand_d0.1_m50_n75_s21.txt,0.1,50,75,OPTIMAL,11,173540,83935,11.81,5.168033
rand_d0.1_m50_n75_s22.txt,0.1,50,75,OPTIMAL,11,61887,30581,11.81,2.151334
rand_d0.1_m50_n75_s23.txt,0.1,50,75,OPTIMAL,10,29946,14304,11.81,0.885313
rand_d0.1_m50_n75_s24.txt,0.1,50,75,OPTIMAL,10,4264,2089,11.81,0.208477
rand_d0.1_m50_n75_s25.txt,0.1,50,75,OPTIMAL,9,12346,6098,11.81,0.49811
rand_d0.1_m50_n75_s26.txt,0.1,50,75,OPTIMAL,10,23558,11649,11.81,0.746127
rand_d0.1_m50_n75_s27.txt,0.1,50,75,OPTIMAL,11,212750,104953,11.81,6.26833
rand_d0.1_m50_n75_s28.txt,0.1,50,75,OPTIMAL,11,691802,311785,11.81,13.888864
rand_d0.1_m50_n75_s29.txt,0.1,50,75,OPTIMAL,10,61686,30091,11.81,2.070705
rand_d0.1_m50_n75_s30.txt,0.1,50,75,OPTIMAL,11,122090,60076,11.81,3.217822
rand_d0.1_m50_n75_s31.txt,0.1,50,75,OPTIMAL,10,43019,21026,11.81,1.143019
rand_d0.1_m50_n75_s32.txt,0.1,50,75,OPTIMAL,11,52976,25311,11.81,1.588036
rand_d0.1_m50_n75_s33.txt,0.1,50,75,OPTIMAL,11,121301,59640,11.81,3.884814
rand_d0.1_m50_n75_s34.txt,0.1,50,75,OPTIMAL,11,122611,58840,11.81,3.36477
rand_d0.1_m50_n75_s35.txt,0.1,50,75,OPTIMAL,10,101495,48705,11.81,2.309323
rand_d0.1_m50_n75_s36.txt,0.1,50,75,OPTIMAL,11,36138,17332,11.81,0.945408
rand_d0.1_m50_n75_s37.txt,0.1,50,75,OPTIMAL,10,19348,9409,11.81,0.499269
rand_d0.1_m50_n75_s38.txt,0.1,50,75,OPTIMAL,11,16126,7948,11.81,0.687668
rand_d0.1_m50_n75_s39.txt,0.1,50,75,OPTIMAL,10,9315,4545,11.81,0.318621
rand_d0.1_m75_n100_s340.txt,0.1,75,100,OPTIMAL,11,2332662,1150999,11.81,83.069005
rand_d0.1_m75_n100_s341.txt,0.1,75,100,OPTIMAL,11,18656979,9220267,11.81,519.591741
rand_d0.1_m75_n100_s342.txt,0.1,75,100,OPTIMAL,12,8522416,4218490,11.81,324.712126
rand_d0.1_m75_n100_s343.txt,0.1,75,100,OPTIMAL,11,23027222,11364279,11.81,756.182568
