arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
rand_d0.1_m25_n75_s18.txt,0.1,25,75,OPTIMAL,8,6321,1333,5084.67,0.254542
rand_d0.1_m25_n75_s19.txt,0.1,25,75,OPTIMAL,7,131,94,5084.67,0.006384
rand_d0.1_m25_n75_s2.txt,0.1,25,75,OPTIMAL,8,6677,5570,5084.67,0.229583
rand_d0.1_m25_n75_s3.txt,0.1,25,75,OPTIMAL,7,9505,8390,5084.67,0.363319
rand_d0.1_m25_n75_s4.txt,0.1,25,75,OPTIMAL,8,154,155,5084.67,0.011137
rand_d0.1_m25_n75_s5.txt,0.1,25,75,OPTIMAL,6,3034,690,5084.67,0.11171
rand_d0.1_m25_n75_s6.txt,0.1,25,75,OPTIMAL,7,483,466,5084.67,0.024442
rand_d0.1_m25_n75_s7.txt,0.1,25,75,OPTIMAL,7,166,152,5084.67,0.008339
rand_d0.1_m25_n75_s8.txt,0.1,25,75,OPTIMAL,8,757,572,5084.67,0.044821
rand_d0.1_m25_n75_s9.txt,0.1,25,75,OPTIMAL,7,32596,23024,5084.67,0.935583
rand_d0.1_m50_n75_s20.txt,0.1,50,75,OPTIMAL,10,36173,25149,5084.67,2.367941
rand_d0.1_m50_n75_s21.txt,0.1,50,75,OPTIMAL,11,408781,104197,5084.67,23.553273
rand_d0.1_m50_n75_s22.txt,0.1,50,75,OPTIMAL,11,155289,137270,5084.67,10.018962
rand_d0.1_m50_n75_s23.txt,0.1,50,75,OPTIMAL,10,72336,50644,5084.67,3.85324
rand_d0.1_m50_n75_s24.txt,0.1,50,75,OPTIMAL,10,11308,11087,5084.67,0.693755
rand_d0.1_m50_n75_s25.txt,0.1,50,75,OPTIMAL,9,23234,22790,5084.67,1.486876
rand_d0.1_m50_n75_s26.txt,0.1,50,75,OPTIMAL,10,66701,56865,5084.67,4.195468
rand_d0.1_m50_n75_s27.txt,0.1,50,75,OPTIMAL,11,295566,234179,5084.67,19.885676
rand_d0.1_m50_n75_s28.txt,0.1,50,75,OPTIMAL,11,201919,41456,5084.67,9.874318
rand_d0.1_m50_n75_s29.txt,0.1,50,75,OPTIMAL,10,223941,48665,5084.67,12.648084
rand_d0.1_m50_n75_s30.txt,0.1,50,75,OPTIMAL,11,317921,77067,5084.67,19.605252
rand_d0.1_m50_n75_s31.txt,0.1,50,75,OPTIMAL,10,77629,72676,5084.67,4.897526
rand_d0.1_m50_n75_s32.txt,0.1,50,75,OPTIMAL,11,120338,105418,5084.67,7.347337
rand_d0.1_m50_n75_s33.txt,0.1,50,75,OPTIMAL,11,472753,419763,5084.67,26.452276
rand_d0.1_m50_n75_s34.txt,0.1,50,75,OPTIMAL,11,161916,41825,5084.67,10.238272
rand_d0.1_m50_n75_s35.txt,0.1,50,75,OPTIMAL,10,52790,48705,5084.67,2.494899
rand_d0.1_m50_n75_s36.txt,0.1,50,75,OPTIMAL,11,55305,40547,5084.67,3.448707
rand_d0.1_m50_n75_s37.txt,0.1,50,75,OPTIMAL,10,13934,12482,5084.67,1.018922
rand_d0.1_m50_n75_s38.txt,0.1,50,75,OPTIMAL,11,62097,55410,5084.67,4.397173
rand_d0.1_m50_n75_s39.txt,0.1,50,75,OPTIMAL,10,4770,4545,5084.67,0.284617
rand_d0.1_m75_n100_s340.txt,0.1,75,100,OPTIMAL,11,3855335,3349739,5084.67,303.597458
rand_d0.1_m75_n100_s341.txt,0.1,75,100,TIMEOUT,12,28336952,22482105,5084.67,1803.241563
rand_d0.1_m75_n100_s342.txt,0.1,75,100,OPTIMAL,12,10099934,1852949,5084.67,873.441952
rand_d0.1_m75_n100_s343.txt,0.1,75,100,OPTIMAL,11,12429199,1617448,5084.67,960.96646
rand_d0.1_m75_n100_s344.txt,0.1,75,100,OPTIMAL,11,14503395,11220009,5084.67,1045.37755
rand_d0.1_m75_n100_s345.txt,0.1,75,100,OPTIMAL,12,7292110,7169702,5084.67,554.854838
rand_d0.1_m75_n100_s346.txt,0.1,75,100,OPTIMAL,11,5582581,630909,5084.67,394.218011
rand_d0.1_m75_n100_s347.txt,0.1,75,100,OPTIMAL,12,24737928,16129556,5084.67,1703.904884
rand_d0.1_m75_n100_s348.txt,0.1,75,100,OPTIMAL,10,91728,90057,5084.67,6.98632
rand_d0.1_m75_n100_s349.txt,0.1,75,100,TIMEOUT,13,23655927,21247564,5084.67,1801.337469
rand_d0.1_m75_n100_s350.txt,0.1,75,100,OPTIMAL,11,2633254,2581536,5084.67,177.458104
rand_d0.1_m75_n100_s351.txt,0.1,75,100,OPTIMAL,12,11207798,2038686,5084.67,826.933405
rand_d0.1_m75_n100_s352.txt,0.1,75,100,OPTIMAL,12,7336073,1671185,5084.67,658.297519
rand_d0.1_m75_n100_s353.txt,0.1,75,100,OPTIMAL,12,14770675,14293008,5084.67,1090.290633
rand_d0.1_m75_n100_s354.txt,0.1,75,100,OPTIMAL,11,4587652,4519970,5084.67,310.034426
rand_d0.1_m75_n100_s355.txt,0.1,75,100,OPTIMAL,11,6676740,6280053,5084.67,478.255739
rand_d0.1_m75_n100_s356.txt,0.1,75,100,OPTIMAL,12,12229449,7704651,5084.67,918.856488
rand_d0.1_m75_n100_s357.txt,0.1,75,100,TIMEOUT,13,21611515,14367119,5084.67,1804.262264
rand_d0.1_m75_n100_s358.txt,0.1,75,100,OPTIMAL,10,578522,129854,5084.67,48.863107
rand_d0.1_m75_n100_s359.txt,0.1,75,100,OPTIMAL,12,2859262,663249,5084.67,232.779455
rand_d0.1_m75_n125_s360.txt,0.1,75,125,TIMEOUT,14,18635906,2163367,5084.67,1826.298838
rand_d0.1_m75_n125_s361.txt,0.1,75,125,TIMEOUT,12,23317012,5621261,5112.09,1814.62688
rand_d0.1_m75_n125_s362.txt,0.1,75,125,TIMEOUT,13,21536624,1492806,5132.53,2213.758895
rand_d0.1_m75_n125_s363.txt,0.1,75,125,TIMEOUT,12,21712715,12810012,5132.53,1804.315207
rand_d0.1_m75_n125_s364.txt,0.1,75,125,TIMEOUT,13,24338825,5164148,5155.68,1905.512457
rand_d0.1_m75_n125_s365.txt,0.1,75,125,TIMEOUT,12,23697615,6341212,5155.68,1822.025612
rand_d0.1_m75_n125_s366.txt,0.1,75,125,OPTIMAL,10,8938577,8774776,5155.68,542.716926
rand_d0.1_m75_n125_s367.txt,0.1,75,125,TIMEOUT,14,21347997,1129625,5155.68,2244.282548
rand_d0.1_m75_n125_s368.txt,0.1,75,125,TIMEOUT,12,24701743,10307516,5155.68,1806.848103
rand_d0.1_m75_n125_s369.txt,0.1,75,125,TIMEOUT,12,24499618,5601539,5214.76,1931.958947
rand_d0.1_m75_n125_s370.txt,0.1,75,125,TIMEOUT,13,21823577,1394205,5214.76,2262.149775
rand_d0.1_m75_n125_s371.txt,0.1,75,125,TIMEOUT,13,24364176,3645219,5214.76,2260.197842
rand_d0.1_m75_n125_s372.txt,0.1,75,125,TIMEOUT,14,22374334,1323440,5214.76,2521.884691
rand_d0.1_m75_n125_s373.txt,0.1,75,125,TIMEOUT,12,24324540,6225586,5214.76,1841.120153
rand_d0.1_m75_n125_s374.txt,0.1,75,125,TIMEOUT,12,25508997,7250268,5214.76,1866.480615
rand_d0.1_m75_n125_s375.txt,0.1,75,125,TIMEOUT,12,24006954,4856104,5214.76,1981.15996
rand_d0.1_m75_n125_s376.txt,0.1,75,125,TIMEOUT,13,21322953,5557043,5214.76,1810.645101
rand_d0.1_m75_n125_s377.txt,0.1,75,125,TIMEOUT,12,22519423,18795850,5214.76,1802.078677
rand_d0.1_m75_n125_s378.txt,0.1,75,125,TIMEOUT,12,24385675,6086519,5214.76,1835.389852
rand_d0.1_m75_n125_s379.txt,0.1,75,125,TIMEOUT,12,26341982,10769992,5214.76,1807.535793
rand_d0.1_m75_n25_s300.txt,0.1,75,25,OPTIMAL,16,84,85,5214.76,0.00316
rand_d0.1_m75_n25_s301.txt,0.1,75,25,OPTIMAL,16,129,122,5214.76,0.004716
rand_d0.1_m75_n25_s302.txt,0.1,75,25,OPTIMAL,16,96,87,5214.76,0.002768
rand_d0.1_m75_n25_s303.txt,0.1,75,25,OPTIMAL,16,75,49,5214.76,0.002057
rand_d0.1_m75_n25_s304.txt,0.1,75,25,OPTIMAL,15,309,176,5214.76,0.004878
rand_d0.1_m75_n25_s305.txt,0.1,75,25,OPTIMAL,18,49,50,5214.76,0.001985
rand_d0.1_m75_n25_s306.txt,0.1,75,25,OPTIMAL,17,202,162,5214.76,0.004844
rand_d0.1_m75_n25_s307.txt,0.1,75,25,OPTIMAL,18,134,99,5214.76,0.003145
rand_d0.1_m75_n25_s308.txt,0.1,75,25,OPTIMAL,18,133,118,5214.76,0.003691
rand_d0.1_m75_n25_s309.txt,0.1,75,25,OPTIMAL,13,91,67,5214.76,0.002073
rand_d0.1_m75_n25_s310.txt,0.1,75,25,OPTIMAL,17,111,103,5214.76,0.003428
rand_d0.1_m75_n25_s311.txt,0.1,75,25,OPTIMAL,16,53,38,5214.76,0.001289
rand_d0.1_m75_n25_s312.txt,0.1,75,25,OPTIMAL,18,31,32,5214.76,0.001483
rand_d0.1_m75_n25_s313.txt,0.1,75,25,OPTIMAL,15,15,16,5214.76,0.000851
rand_d0.1_m75_n25_s314.txt,0.1,75,25,OPTIMAL,16,27,25,5214.76,0.001395
rand_d0.1_m75_n25_s315.txt,0.1,75,25,OPTIMAL,15,68,55,5214.76,0.001608
rand_d0.1_m75_n25_s316.txt,0.1,75,25,OPTIMAL,18,42,33,5214.76,0.001418
rand_d0.1_m75_n25_s317.txt,0.1,75,25,OPTIMAL,17,91,85,5214.76,0.00311
rand_d0.1_m75_n25_s318.txt,0.1,75,25,OPTIMAL,18,109,106,5214.76,0.003544
rand_d0.1_m75_n25_s319.txt,0.1,75,25,OPTIMAL,17,202,192,5214.76,0.005334
rand_d0.1_m75_n50_s320.txt,0.1,75,50,OPTIMAL,14,3172,978,5214.76,0.212697
rand_d0.1_m75_n50_s321.txt,0.1,75,50,OPTIMAL,14,14021,8898,5214.76,0.76076
rand_d0.1_m75_n50_s322.txt,0.1,75,50,OPTIMAL,14,10783,9768,5214.76,0.555622
rand_d0.1_m75_n50_s323.txt,0.1,75,50,OPTIMAL,14,40594,5485,5214.76,2.196474
rand_d0.1_m75_n50_s324.txt,0.1,75,50,OPTIMAL,14,75629,59764,5214.76,3.072009
rand_d0.1_m75_n50_s325.txt,0.1,75,50,OPTIMAL,13,28748,9206,5214.76,1.291606
rand_d0.1_m75_n50_s326.txt,0.1,75,50,OPTIMAL,14,3089,1084,5214.76,0.184382
rand_d0.1_m75_n50_s327.txt,0.1,75,50,OPTIMAL,13,34708,29436,5214.76,1.406174
rand_d0.1_m75_n50_s328.txt,0.1,75,50,OPTIMAL,14,21750,6262,5214.76,1.087431
rand_d0.1_m75_n50_s329.txt,0.1,75,50,OPTIMAL,16,299639,144743,5214.76,11.356722
rand_d0.1_m75_n50_s330.txt,0.1,75,50,OPTIMAL,13,770,696,5214.76,0.025315
rand_d0.1_m75_n50_s331.txt,0.1,75,50,OPTIMAL,13,53711,13967,5214.76,1.778521
rand_d0.1_m75_n50_s332.txt,0.1,75,50,OPTIMAL,13,54612,46802,5214.76,2.069638
rand_d0.1_m75_n50_s333.txt,0.1,75,50,OPTIMAL,13,32446,26842,5214.76,1.638586
rand_d0.1_m75_n50_s334.txt,0.1,75,50,OPTIMAL,14,10680,2989,5214.76,0.560208
rand_d0.1_m75_n50_s335.txt,0.1,75,50,OPTIMAL,14,13421,5120,5214.76,0.788215
rand_d0.1_m75_n50_s336.txt,0.1,75,50,OPTIMAL,15,14023,5473,5214.76,0.707131
rand_d0.1_m75_n50_s337.txt,0.1,75,50,OPTIMAL,16,861,347,5214.76,0.05214
rand_d0.1_m75_n50_s338.txt,0.1,75,50,OPTIMAL,15,5319,3254,5214.76,0.302752
rand_d0.1_m75_n50_s339.txt,0.1,75,50,OPTIMAL,14,10861,5146,5214.76,0.528738
rand_d0.1_m75_n75_s40.txt,0.1,75,75,OPTIMAL,13,756978,662063,5214.76,41.941662
rand_d0.1_m75_n75_s41.txt,0.1,75,75,OPTIMAL,11,261041,249053,5214.76,13.811962
rand_d0.1_m75_n75_s42.txt,0.1,75,75,OPTIMAL,13,3358599,2424504,5214.76,180.596865
rand_d0.1_m75_n75_s43.txt,0.1,75,75,OPTIMAL,12,93035,82257,5214.76,4.892504
rand_d0.1_m75_n75_s44.txt,0.1,75,75,OPTIMAL,12,1597661,1105949,5214.76,91.122155
